Current	Voltage	Temperature	Resistance
1.00058331e-05	5.05230239e-07	83.3532955	0.05049357049539434
1.00052682e-05	3.82320582e-07	83.4320661	0.03821192739241113
1.0005863e-05	9.86293195e-07	83.5132276	0.09857152701371186
1.00059577e-05	9.59596502e-07	83.6069451	0.09590251435902031
1.00056507e-05	6.65685845e-07	83.7417115	0.06653098983357475
1.0005816700000002e-05	-3.98809807e-08	83.8596671	-0.003985779661544268
1.00058462e-05	1.57880618e-07	83.981149	0.015778837176210044
1.00059711e-05	5.10644199e-07	84.1338598	0.05103394701989495
1.00056128e-05	-7.93560489e-07	84.2910043	-0.07931153292280109
1.00062308e-05	-3.49886981e-07	84.4564882	-0.034966910917145745
1.00061131e-05	5.7473489e-07	84.6317385	0.05743837634615584
1.00058685e-05	9.8627225e-07	84.8277004	0.09856937955960543
1.00058576e-05	4.14368026e-07	84.99199	0.04141254478776512
1.00057041e-05	-2.85855643e-07	85.1930659	-0.028569268103780923
1.00056901e-05	3.76895654e-07	85.4012593	0.03766813185629245
1.000589369999e-05	6.17476878e-07	85.5911697	0.06171131700116073
1.00065966e-05	9.16805287e-07	85.8194884	0.0916200905910407
1.00057429e-05	2.41472972e-08	86.030846	0.0024133437608116035
1.0005760400000002e-05	8.31336761e-07	86.2643972	0.08308581534692754
1.00058853e-05	-1.30802265e-07	86.5090452	-0.013072532922199296
1.000580309999e-05	2.59374553e-07	86.7510403	0.025922412264964445
1.0005941e-05	6.22888024e-07	86.9942075	0.062251818594572954
1.00052917e-05	3.87681067e-07	87.2234647	0.03874760263111569
1.00051943e-05	2.64694451e-07	87.4856197	0.02645570321407951
1.00054166e-05	7.2249467e-08	87.7257134	0.007221035353990158
1.0005510100000002e-05	-3.81989167e-07	87.9625989	-0.03817788030617249
1.00061528e-05	-1.6282189e-07	88.214899	-0.01627217705490166
1.00056166e-05	4.19779292e-07	88.4644788	0.041954365111291594
1.000521099999e-05	2.70152025e-07	88.6858964	0.027001132210032353
1.000574029999e-05	-8.27011451e-08	88.9464071	-0.008265369939701778
1.00056036e-05	-8.20332628e-07	89.1801064	-0.08198732038514897
1.00059549e-05	-7.73204362e-08	89.4369374	-0.007727442005560109
1.00063772e-05	-1.23187095e-06	89.6741242	-0.12310858619241338
1.0006392e-05	7.67111475e-07	89.9136105	0.07666214505687965
1.00058401e-05	-7.40126865e-07	90.137117	-0.07396948757955867
1.00055588e-05	9.37261494e-08	90.3591694	0.009367407785360275
1.00061586e-05	-5.31681208e-07	90.5812661	-0.0531353968345055
1.0005220200000002e-05	-4.94250292e-07	90.7851127	-0.04939924180779148
1.00059888e-05	2.59341066e-07	91.0212099	0.025918584478127737
1.0005744500000002e-05	-8.31070351e-07	91.2292213	-0.08305932167266512
1.00062637e-05	-4.78276153e-07	91.420756	-0.04779767626951507
1.0006422e-05	-2.64388773e-07	91.6076635	-0.026421909149943905
1.0005783200000002e-05	-3.28577748e-07	91.8330257	-0.03283878347474088
1.00056119e-05	-4.8892293e-07	92.04087	-0.04886487052331102
1.00055081e-05	3.55611212e-07	92.2128422	0.035541544561839895
1.00055789e-05	2.05955454e-07	92.4197623	0.02058406175778595
1.00061224e-05	-2.46593596e-09	92.6148868	-0.000246442713912834
1.00059482e-05	-7.731931e-08	92.8104877	-0.0077273346268172775
1.0005573900000002e-05	-4.72870913e-07	93.0008574	-0.04726074863132038
1.00060737e-05	-1.94890358e-07	93.2056391	-0.019477205929434638
1.00055255e-05	4.9997174e-07	93.367884	0.04996956331778875
1.00052525e-05	-8.09651466e-07	93.5266479	-0.08092264198229879
1.00050434e-05	-6.70581637e-07	93.7063506	-0.06702436063395786
1.00054336e-05	-1.73590648e-07	93.8897269	-0.01734963770085886
1.00053254e-05	-2.37749291e-07	94.0404786	-0.023762274738210912
1.00053035e-05	-3.01752552e-07	94.2246357	-0.03015926023633366
1.00054224e-05	-1.57391872e-06	94.3748773	-0.1573065740832691
1.0005202e-05	-6.75993306e-07	94.537329	-0.06756418371163321
1.00051155e-05	-3.33948949e-07	94.7175436	-0.033377820475935537
1.00054939e-05	-2.80479465e-07	95.1587679	-0.028032545699718033
1.00054333e-05	-6.01140025e-07	95.3386614	-0.06008135849548865
1.00054102e-05	-9.37893374e-07	95.5180836	-0.0937386229302223
1.00061399e-05	-1.28002515e-06	95.6951884	-0.1279239709610696
1.00053748e-05	-7.45439451e-07	95.8605197	-0.07450390074342843
1.00054459e-05	-4.46094239e-07	96.0600746	-0.04458514327682288
1.000586759999e-05	-4.19422889e-07	96.2259935	-0.04191769327433627
1.00059973e-05	-8.04215085e-07	96.3949491	-0.08037330621706244
1.0005529500000002e-05	-1.29062524e-06	96.5675226	-0.12899119831689065
1.00057973e-05	-8.47034792e-07	96.7512065	-0.0846544025032368
1.00058263e-05	-7.77459449e-07	96.9223394	-0.07770067415621637
1.00060056e-05	-4.56810065e-07	97.1066207	-0.04565358878072185
1.00058142e-05	-1.37088447e-06	97.2854853	-0.13700878735085847
1.0006488600000002e-05	-1.1089206e-06	97.4742849	-0.11082015323537169
1.00060318e-05	-6.27854982e-07	97.6450883	-0.06274765007242931
1.00054618e-05	-8.04303313e-07	97.8242777	-0.08038642584193365
1.00060157e-05	-2.00689325e-06	98.025624	-0.20056866890584632
1.00059607e-05	-9.91265841e-07	98.2077523	-0.09906753291565495
1.00052081e-05	-7.88203027e-07	98.3860964	-0.07877927366648176
1.00055649e-05	-2.69606078e-07	98.5995531	-0.02694561283591294
1.00054491e-05	9.37142111e-08	98.7805336	0.009366317310034589
